"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"Under 15 years"	"15"	87
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"15-19 years"	"15-19"	4267
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"20-24 years"	"20-24"	10238
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"25-29 years"	"25-29"	9460
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"30-34 years"	"30-34"	5819
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"35-39 years"	"35-39"	2532
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"40-44 years"	"40-44"	453
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"45-49 years"	"45-49"	17
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"Under 15 years"	"15"	73
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"15-19 years"	"15-19"	4100
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"20-24 years"	"20-24"	9386
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"25-29 years"	"25-29"	8727
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"30-34 years"	"30-34"	5749
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"35-39 years"	"35-39"	2249
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"40-44 years"	"40-44"	421
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"45-49 years"	"45-49"	18
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"Under 15 years"	"15"	87
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"15-19 years"	"15-19"	4105
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"20-24 years"	"20-24"	9532
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"25-29 years"	"25-29"	9359
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"30-34 years"	"30-34"	5822
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"35-39 years"	"35-39"	2349
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	471
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"45-49 years"	"45-49"	23
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"Under 15 years"	"15"	59
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"15-19 years"	"15-19"	3531
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"20-24 years"	"20-24"	8595
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"25-29 years"	"25-29"	8680
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"30-34 years"	"30-34"	5670
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"35-39 years"	"35-39"	2189
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"40-44 years"	"40-44"	484
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"45-49 years"	"45-49"	17
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"Under 15 years"	"15"	51
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"15-19 years"	"15-19"	3812
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"20-24 years"	"20-24"	9150
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"25-29 years"	"25-29"	9003
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"30-34 years"	"30-34"	5908
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	2401
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"40-44 years"	"40-44"	472
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"45-49 years"	"45-49"	24
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"Under 15 years"	"15"	47
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	3226
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"20-24 years"	"20-24"	8651
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"25-29 years"	"25-29"	8511
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	5758
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"35-39 years"	"35-39"	2225
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"40-44 years"	"40-44"	455
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"45-49 years"	"45-49"	24
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"Under 15 years"	"15"	48
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"15-19 years"	"15-19"	3383
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"20-24 years"	"20-24"	8940
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	8987
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"30-34 years"	"30-34"	6191
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"35-39 years"	"35-39"	2375
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	504
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"45-49 years"	"45-49"	24
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"Under 15 years"	"15"	39
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	3022
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"20-24 years"	"20-24"	8457
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"25-29 years"	"25-29"	8546
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"30-34 years"	"30-34"	5996
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"35-39 years"	"35-39"	2246
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"40-44 years"	"40-44"	445
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"45-49 years"	"45-49"	21
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"Under 15 years"	"15"	49
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"15-19 years"	"15-19"	3173
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"20-24 years"	"20-24"	8643
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"25-29 years"	"25-29"	8801
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	6215
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"35-39 years"	"35-39"	2328
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"40-44 years"	"40-44"	440
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"45-49 years"	"45-49"	25
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"Under 15 years"	"15"	34
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	2629
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"20-24 years"	"20-24"	8402
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	8630
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"30-34 years"	"30-34"	6138
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"35-39 years"	"35-39"	2225
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"40-44 years"	"40-44"	448
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"45-49 years"	"45-49"	28
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"Under 15 years"	"15"	30
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"15-19 years"	"15-19"	2763
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"20-24 years"	"20-24"	8920
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"25-29 years"	"25-29"	8850
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"30-34 years"	"30-34"	6187
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"35-39 years"	"35-39"	2406
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"40-44 years"	"40-44"	449
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"45-49 years"	"45-49"	24
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"Under 15 years"	"15"	31
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"15-19 years"	"15-19"	2381
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"20-24 years"	"20-24"	8448
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"25-29 years"	"25-29"	8832
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"30-34 years"	"30-34"	6534
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"35-39 years"	"35-39"	2437
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"40-44 years"	"40-44"	450
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"45-49 years"	"45-49"	20
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"Under 15 years"	"15"	33
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"15-19 years"	"15-19"	2628
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"20-24 years"	"20-24"	8644
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"25-29 years"	"25-29"	9309
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"30-34 years"	"30-34"	6642
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"35-39 years"	"35-39"	2543
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"40-44 years"	"40-44"	466
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"45-49 years"	"45-49"	21
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"Under 15 years"	"15"	31
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"15-19 years"	"15-19"	2362
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"20-24 years"	"20-24"	8182
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"25-29 years"	"25-29"	9127
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"30-34 years"	"30-34"	6530
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"35-39 years"	"35-39"	2583
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"40-44 years"	"40-44"	461
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"45-49 years"	"45-49"	27
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"Under 15 years"	"15"	21
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"15-19 years"	"15-19"	2377
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"20-24 years"	"20-24"	8612
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"25-29 years"	"25-29"	9404
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"30-34 years"	"30-34"	6757
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"35-39 years"	"35-39"	2689
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"40-44 years"	"40-44"	467
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"45-49 years"	"45-49"	24
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"Under 15 years"	"15"	20
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"15-19 years"	"15-19"	2132
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"20-24 years"	"20-24"	7850
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"25-29 years"	"25-29"	9082
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"30-34 years"	"30-34"	6586
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"35-39 years"	"35-39"	2712
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"40-44 years"	"40-44"	456
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"45-49 years"	"45-49"	18
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"Under 15 years"	"15"	28
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"15-19 years"	"15-19"	2348
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"20-24 years"	"20-24"	8216
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"25-29 years"	"25-29"	9567
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"30-34 years"	"30-34"	6854
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"35-39 years"	"35-39"	2793
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"40-44 years"	"40-44"	468
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"45-49 years"	"45-49"	16
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"Under 15 years"	"15"	22
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"15-19 years"	"15-19"	2057
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"20-24 years"	"20-24"	7634
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"25-29 years"	"25-29"	9134
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	6721
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	2789
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	491
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	22
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"Under 15 years"	"15"	22
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"15-19 years"	"15-19"	2184
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"20-24 years"	"20-24"	8146
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	9640
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"30-34 years"	"30-34"	6704
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"35-39 years"	"35-39"	2858
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"40-44 years"	"40-44"	485
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"45-49 years"	"45-49"	25
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"Under 15 years"	"15"	15
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"15-19 years"	"15-19"	1926
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"20-24 years"	"20-24"	7384
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"25-29 years"	"25-29"	8867
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"30-34 years"	"30-34"	6547
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"35-39 years"	"35-39"	2761
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"40-44 years"	"40-44"	465
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"45-49 years"	"45-49"	25
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"Under 15 years"	"15"	23
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"15-19 years"	"15-19"	1998
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"20-24 years"	"20-24"	7884
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"25-29 years"	"25-29"	9481
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"30-34 years"	"30-34"	6875
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"35-39 years"	"35-39"	2912
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"40-44 years"	"40-44"	558
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"45-49 years"	"45-49"	31
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"Under 15 years"	"15"	30
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"15-19 years"	"15-19"	1945
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"20-24 years"	"20-24"	7399
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"25-29 years"	"25-29"	8997
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	6729
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	2809
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	485
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	26
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"Under 15 years"	"15"	17
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"15-19 years"	"15-19"	2010
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"20-24 years"	"20-24"	7880
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"25-29 years"	"25-29"	9665
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"30-34 years"	"30-34"	7048
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	2973
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	562
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	37
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"15-19 years"	"15-19"	564
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"20-24 years"	"20-24"	1640
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"25-29 years"	"25-29"	1537
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"30-34 years"	"30-34"	989
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	514
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"40-44 years"	"40-44"	113
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	"45-49 years"	"45-49"	14
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"15-19 years"	"15-19"	553
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"20-24 years"	"20-24"	1676
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"25-29 years"	"25-29"	1647
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"30-34 years"	"30-34"	1100
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"35-39 years"	"35-39"	540
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	"40-44 years"	"40-44"	149
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"15-19 years"	"15-19"	542
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"20-24 years"	"20-24"	1618
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"25-29 years"	"25-29"	1639
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"30-34 years"	"30-34"	1042
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"35-39 years"	"35-39"	553
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"40-44 years"	"40-44"	109
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	"45-49 years"	"45-49"	11
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"15-19 years"	"15-19"	593
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"20-24 years"	"20-24"	1732
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"25-29 years"	"25-29"	1749
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"30-34 years"	"30-34"	1147
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"35-39 years"	"35-39"	531
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	"40-44 years"	"40-44"	164
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"15-19 years"	"15-19"	550
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"20-24 years"	"20-24"	1486
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"25-29 years"	"25-29"	1577
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"30-34 years"	"30-34"	1077
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"35-39 years"	"35-39"	536
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"40-44 years"	"40-44"	117
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	"45-49 years"	"45-49"	10
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"15-19 years"	"15-19"	556
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"20-24 years"	"20-24"	1660
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"25-29 years"	"25-29"	1833
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"30-34 years"	"30-34"	1191
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"35-39 years"	"35-39"	587
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	125
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"15-19 years"	"15-19"	439
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"20-24 years"	"20-24"	1646
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"25-29 years"	"25-29"	1717
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"30-34 years"	"30-34"	1180
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"35-39 years"	"35-39"	489
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	"40-44 years"	"40-44"	132
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"15-19 years"	"15-19"	517
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"20-24 years"	"20-24"	1663
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"25-29 years"	"25-29"	1730
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"30-34 years"	"30-34"	1274
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	524
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	"40-44 years"	"40-44"	137
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	417
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"20-24 years"	"20-24"	1573
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"25-29 years"	"25-29"	1713
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	1199
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"35-39 years"	"35-39"	540
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	"40-44 years"	"40-44"	127
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"15-19 years"	"15-19"	463
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"20-24 years"	"20-24"	1679
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	1749
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"30-34 years"	"30-34"	1261
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"35-39 years"	"35-39"	581
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	134
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	394
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"20-24 years"	"20-24"	1466
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"25-29 years"	"25-29"	1662
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"30-34 years"	"30-34"	1250
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"35-39 years"	"35-39"	545
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"40-44 years"	"40-44"	141
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	"45-49 years"	"45-49"	12
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"15-19 years"	"15-19"	423
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"20-24 years"	"20-24"	1511
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"25-29 years"	"25-29"	1718
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	1322
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"35-39 years"	"35-39"	568
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	"40-44 years"	"40-44"	154
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	338
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"20-24 years"	"20-24"	1434
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	1747
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"30-34 years"	"30-34"	1326
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"35-39 years"	"35-39"	593
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"40-44 years"	"40-44"	134
	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	"45-49 years"	"45-49"	12
