"Notes"	"Infant Delivery Weight 14"	"Infant Delivery Weight 14 Code"	"Delivery Method"	"Delivery Method Code"	"LMP Gestational Age 10"	"LMP Gestational Age 10 Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"Standard Residence States"	"Standard Residence States Code"	Fetal Deaths	Percent of Total Deaths
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Ohio"	"39"	371	0.12
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Oklahoma"	"40"	122	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Oregon"	"41"	91	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Pennsylvania"	"42"	465	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"South Carolina"	"45"	149	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"South Dakota"	"46"	25	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Tennessee"	"47"	104	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Texas"	"48"	477	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Utah"	"49"	197	0.06
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Vermont"	"50"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Virginia"	"51"	292	0.09
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Washington"	"53"	114	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"West Virginia"	"54"	21	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Wisconsin"	"55"	150	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Wyoming"	"56"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Alabama"	"01"	22	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Arkansas"	"05"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"California"	"06"	63	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Colorado"	"08"	15	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Florida"	"12"	52	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Georgia"	"13"	56	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Illinois"	"17"	39	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Indiana"	"18"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Kentucky"	"21"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Maryland"	"24"	16	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Massachusetts"	"25"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Michigan"	"26"	25	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Minnesota"	"27"	16	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Mississippi"	"28"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Missouri"	"29"	19	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"New Jersey"	"34"	24	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"New York"	"36"	48	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"North Carolina"	"37"	26	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Ohio"	"39"	44	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Pennsylvania"	"42"	38	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"South Carolina"	"45"	20	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Tennessee"	"47"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Texas"	"48"	73	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Utah"	"49"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Virginia"	"51"	38	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Washington"	"53"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Twin"	"2"	"Wisconsin"	"55"	17	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Alabama"	"01"	58	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Arizona"	"04"	65	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Arkansas"	"05"	33	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"California"	"06"	150	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Colorado"	"08"	37	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Connecticut"	"09"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Florida"	"12"	117	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Georgia"	"13"	122	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Illinois"	"17"	76	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Indiana"	"18"	37	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Iowa"	"19"	22	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Kentucky"	"21"	43	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Louisiana"	"22"	33	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Maryland"	"24"	48	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Massachusetts"	"25"	19	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Michigan"	"26"	46	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Minnesota"	"27"	29	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Mississippi"	"28"	39	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Missouri"	"29"	34	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Nebraska"	"31"	18	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Nevada"	"32"	19	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"New Jersey"	"34"	29	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"New York"	"36"	118	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"North Carolina"	"37"	67	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Ohio"	"39"	96	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Oklahoma"	"40"	54	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Oregon"	"41"	15	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Pennsylvania"	"42"	90	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"South Carolina"	"45"	44	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Tennessee"	"47"	37	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Texas"	"48"	123	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Utah"	"49"	27	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Virginia"	"51"	71	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Washington"	"53"	32	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Single"	"1"	"Wisconsin"	"55"	35	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Twin"	"2"	"California"	"06"	12	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Twin"	"2"	"Florida"	"12"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Twin"	"2"	"Illinois"	"17"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Twin"	"2"	"New York"	"36"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"24-27 weeks"	"04"	"Twin"	"2"	"Texas"	"48"	18	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Alabama"	"01"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Arizona"	"04"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"California"	"06"	38	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Colorado"	"08"	12	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Florida"	"12"	21	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Georgia"	"13"	44	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Illinois"	"17"	20	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Indiana"	"18"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Kentucky"	"21"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Michigan"	"26"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Mississippi"	"28"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"New York"	"36"	61	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"North Carolina"	"37"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Ohio"	"39"	33	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Oklahoma"	"40"	35	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Pennsylvania"	"42"	32	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Texas"	"48"	40	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"28-31 weeks"	"05"	"Single"	"1"	"Virginia"	"51"	23	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"California"	"06"	21	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Florida"	"12"	20	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Georgia"	"13"	20	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"New York"	"36"	41	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Ohio"	"39"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Oklahoma"	"40"	13	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Texas"	"48"	16	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"32-35 weeks"	"06"	"Single"	"1"	"Virginia"	"51"	18	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"37-39 weeks"	"08"	"Single"	"1"	"California"	"06"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"37-39 weeks"	"08"	"Single"	"1"	"New York"	"36"	23	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"37-39 weeks"	"08"	"Single"	"1"	"Texas"	"48"	15	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Alabama"	"01"	299	0.10
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Alaska"	"02"	18	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Arizona"	"04"	268	0.09
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Arkansas"	"05"	66	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"California"	"06"	719	0.23
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Colorado"	"08"	163	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Connecticut"	"09"	46	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"District of Columbia"	"11"	32	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Florida"	"12"	664	0.21
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Georgia"	"13"	536	0.17
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Hawaii"	"15"	33	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Idaho"	"16"	59	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Illinois"	"17"	479	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Indiana"	"18"	333	0.11
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Iowa"	"19"	112	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Kansas"	"20"	140	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Kentucky"	"21"	209	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Louisiana"	"22"	168	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Maine"	"23"	29	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Maryland"	"24"	263	0.08
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Massachusetts"	"25"	78	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Michigan"	"26"	309	0.10
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Minnesota"	"27"	215	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Mississippi"	"28"	136	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Missouri"	"29"	224	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Montana"	"30"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Nebraska"	"31"	74	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Nevada"	"32"	84	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"New Jersey"	"34"	211	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"New Mexico"	"35"	27	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"New York"	"36"	465	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"North Carolina"	"37"	337	0.11
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"North Dakota"	"38"	50	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Ohio"	"39"	475	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Oklahoma"	"40"	146	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Oregon"	"41"	66	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Pennsylvania"	"42"	308	0.10
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Rhode Island"	"44"	16	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"South Carolina"	"45"	119	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"South Dakota"	"46"	37	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Tennessee"	"47"	304	0.10
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Texas"	"48"	476	0.15
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Utah"	"49"	193	0.06
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Virginia"	"51"	340	0.11
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Washington"	"53"	137	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"West Virginia"	"54"	22	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Wisconsin"	"55"	208	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Single"	"1"	"Wyoming"	"56"	29	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Alabama"	"01"	18	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Arizona"	"04"	31	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"California"	"06"	105	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Colorado"	"08"	17	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Florida"	"12"	57	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Georgia"	"13"	36	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Illinois"	"17"	55	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Indiana"	"18"	33	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Iowa"	"19"	17	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Kansas"	"20"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Kentucky"	"21"	15	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Louisiana"	"22"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Maryland"	"24"	19	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Massachusetts"	"25"	16	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Michigan"	"26"	46	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Minnesota"	"27"	24	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Mississippi"	"28"	11	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"Not Available"	"110"	"Twin"	"2"	"Missouri"	"29"	27	0.01
