"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Anencephalus"	"Anencephalus Code"	"Spina Bifida / Meningocele"	"Spina Bifida / Meningocele Code"	"Omphalocele / Gastroschisis"	"Omphalocele / Gastroschisis Code"	"Cleft Lip / Palate"	"Cleft Lip / Palate Code"	Fetal Deaths	Percent of Total Deaths
	"Kansas"	"20"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1665	0.46
	"Kansas"	"20"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1272	0.35
	"Kentucky"	"21"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	39	0.01
	"Kentucky"	"21"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	13	0.00
	"Kentucky"	"21"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	26	0.01
	"Kentucky"	"21"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2929	0.80
	"Kentucky"	"21"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	166	0.05
	"Kentucky"	"21"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2043	0.56
	"Louisiana"	"22"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	45	0.01
	"Louisiana"	"22"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	26	0.01
	"Louisiana"	"22"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	18	0.00
	"Louisiana"	"22"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2996	0.82
	"Louisiana"	"22"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	118	0.03
	"Louisiana"	"22"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2026	0.56
	"Maine"	"23"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	389	0.11
	"Maine"	"23"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	151	0.04
	"Maine"	"23"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	365	0.10
	"Maryland"	"24"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	41	0.01
	"Maryland"	"24"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	26	0.01
	"Maryland"	"24"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	19	0.01
	"Maryland"	"24"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	38	0.01
	"Maryland"	"24"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4952	1.36
	"Maryland"	"24"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	44	0.01
	"Maryland"	"24"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3111	0.85
	"Massachusetts"	"25"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	12	0.00
	"Massachusetts"	"25"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	10	0.00
	"Massachusetts"	"25"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	14	0.00
	"Massachusetts"	"25"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2713	0.74
	"Massachusetts"	"25"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	572	0.16
	"Massachusetts"	"25"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1929	0.53
	"Michigan"	"26"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	72	0.02
	"Michigan"	"26"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	12	0.00
	"Michigan"	"26"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	32	0.01
	"Michigan"	"26"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	53	0.01
	"Michigan"	"26"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	5279	1.45
	"Michigan"	"26"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	385	0.11
	"Michigan"	"26"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3714	1.02
	"Minnesota"	"27"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	59	0.02
	"Minnesota"	"27"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	17	0.00
	"Minnesota"	"27"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	31	0.01
	"Minnesota"	"27"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2605	0.72
	"Minnesota"	"27"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	505	0.14
	"Minnesota"	"27"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2294	0.63
	"Mississippi"	"28"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	27	0.01
	"Mississippi"	"28"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	17	0.00
	"Mississippi"	"28"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	14	0.00
	"Mississippi"	"28"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	3338	0.92
	"Mississippi"	"28"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	291	0.08
	"Mississippi"	"28"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2297	0.63
	"Missouri"	"29"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	42	0.01
	"Missouri"	"29"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	23	0.01
	"Missouri"	"29"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	16	0.00
	"Missouri"	"29"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	3691	1.01
	"Missouri"	"29"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	113	0.03
	"Missouri"	"29"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2545	0.70
	"Montana"	"30"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	453	0.12
	"Montana"	"30"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	310	0.09
	"Nebraska"	"31"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	14	0.00
	"Nebraska"	"31"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	11	0.00
	"Nebraska"	"31"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1254	0.34
	"Nebraska"	"31"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	860	0.24
	"Nevada"	"32"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	25	0.01
	"Nevada"	"32"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	11	0.00
	"Nevada"	"32"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	18	0.00
	"Nevada"	"32"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	15	0.00
	"Nevada"	"32"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1911	0.52
	"Nevada"	"32"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	238	0.07
	"Nevada"	"32"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1433	0.39
	"New Hampshire"	"33"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	525	0.14
	"New Hampshire"	"33"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	30	0.01
	"New Hampshire"	"33"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	341	0.09
	"New Jersey"	"34"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	42	0.01
	"New Jersey"	"34"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	21	0.01
	"New Jersey"	"34"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	36	0.01
	"New Jersey"	"34"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	45	0.01
	"New Jersey"	"34"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	5670	1.56
	"New Jersey"	"34"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	770	0.21
	"New Jersey"	"34"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	4175	1.15
	"New Mexico"	"35"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	347	0.10
	"New Mexico"	"35"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	470	0.13
	"New Mexico"	"35"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	503	0.14
	"New York"	"36"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	16	0.00
	"New York"	"36"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	14	0.00
	"New York"	"36"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4444	1.22
	"New York"	"36"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	1972	0.54
	"New York"	"36"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	11502	3.16
	"New York"	"36"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	8961	2.46
	"North Carolina"	"37"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	43	0.01
	"North Carolina"	"37"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	11	0.00
	"North Carolina"	"37"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	44	0.01
	"North Carolina"	"37"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	39	0.01
	"North Carolina"	"37"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	7117	1.95
	"North Carolina"	"37"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	49	0.01
	"North Carolina"	"37"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	4976	1.37
	"North Dakota"	"38"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	426	0.12
	"North Dakota"	"38"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	23	0.01
	"North Dakota"	"38"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	381	0.10
	"Ohio"	"39"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	105	0.03
	"Ohio"	"39"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	27	0.01
	"Ohio"	"39"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	69	0.02
	"Ohio"	"39"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	72	0.02
	"Ohio"	"39"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	7148	1.96
	"Ohio"	"39"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	590	0.16
	"Ohio"	"39"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	5298	1.45
	"Oklahoma"	"40"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	36	0.01
	"Oklahoma"	"40"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	12	0.00
	"Oklahoma"	"40"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	16	0.00
	"Oklahoma"	"40"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1412	0.39
	"Oklahoma"	"40"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	1066	0.29
	"Oklahoma"	"40"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1712	0.47
	"Oregon"	"41"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	23	0.01
	"Oregon"	"41"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	14	0.00
	"Oregon"	"41"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	14	0.00
	"Oregon"	"41"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1968	0.54
	"Oregon"	"41"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1243	0.34
	"Pennsylvania"	"42"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	90	0.02
	"Pennsylvania"	"42"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	42	0.01
	"Pennsylvania"	"42"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	53	0.01
	"Pennsylvania"	"42"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	61	0.02
	"Pennsylvania"	"42"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	7007	1.92
	"Pennsylvania"	"42"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	1749	0.48
	"Pennsylvania"	"42"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	5036	1.38
	"Rhode Island"	"44"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	49	0.01
	"Rhode Island"	"44"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	523	0.14
	"Rhode Island"	"44"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	336	0.09
	"South Carolina"	"45"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	33	0.01
	"South Carolina"	"45"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	12	0.00
	"South Carolina"	"45"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	15	0.00
	"South Carolina"	"45"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	12	0.00
	"South Carolina"	"45"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4506	1.24
	"South Carolina"	"45"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	126	0.03
	"South Carolina"	"45"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2469	0.68
	"South Dakota"	"46"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	10	0.00
	"South Dakota"	"46"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	506	0.14
	"South Dakota"	"46"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	10	0.00
	"South Dakota"	"46"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	439	0.12
	"Tennessee"	"47"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	23	0.01
	"Tennessee"	"47"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	18	0.00
	"Tennessee"	"47"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	24	0.01
	"Tennessee"	"47"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4139	1.14
	"Tennessee"	"47"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	19	0.01
	"Tennessee"	"47"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3403	0.93
	"Texas"	"48"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	257	0.07
	"Texas"	"48"	"No"	"2"	"Yes"	"1"	"Yes"	"1"	"No"	"2"	18	0.00
	"Texas"	"48"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	100	0.03
	"Texas"	"48"	"No"	"2"	"No"	"2"	"Yes"	"1"	"Yes"	"1"	10	0.00
	"Texas"	"48"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	136	0.04
	"Texas"	"48"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	186	0.05
	"Texas"	"48"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	17456	4.79
